Car_ID,score
48,62
124,124
222,40
207,40
167,20
159,14
20,38
178,72
30,66
1,6
51,50
183,16
177,12
5,50
218,64
39,72
68,10
10,34
67,14
43,54
170,50
216,96
99,38
89,16
95,12
228,92
7,30
14,26
8,44
145,38
102,10
36,74
189,50
111,10
140,44
161,84
37,54
243,10
184,8
66,4
101,0
21,62
200,36
2,24
23,62
59,28
42,8
83,112
16,10
181,30
0,0
88,48
25,78
176,40
134,52
127,86
104,48
120,30
85,42
Showcar,44
108,14
98,26
130,24
12,62
232,46
Vip,16
96,10
15,120
65,106
92,30
179,38
63,86
35,60
79,18
4341,32
156,56
220,14
44,40
19,40
123,66
57,80
230,20
33,68
75,6
175,92
115,56
153,42
76,12
56,42
50,102
163,22
53,60
241,24
114,26
41,64
116,28
137,54
212,6
52,48
93,22
226,18
22,24
70,0
128,128
40,6
238,28
31,102
71,6
18,38
38,62
46,32
49,42
28,8
219,26
185,8
162,36
180,82
103,72
197,2
74,8
150,22
78,36
141,26
17,34
187,26
69,8
100,22
112,110
172,22
91,102
158,64
182,20
225,52
81,24
6,54
121,44
211,48
186,14
4,14
72,4
45,42
1051,66
84,70
118,44
174,4
138,10
242,26
3,84
193,14
94,10
11,30
86,8
9,44
142,58
126,92
144,28
110,58
34,18
190,10
235,20
24,32
64,6
122,44
106,78
113,116
13,92
237,10
